clo_id,clo
511100,"CLO1 ความหมายและสมบัติของฟังก์ชันเอกซ์โพเนนเชียล

CLO2 ความหมายและสมบัติของฟังก์ชันลอการิทึม

CLO3 เอกลักษณ์พื้นฐานของฟังก์ชันตรีโกณมิติ

CLO4 คำนวณการบวก ลบ คูณ หาร จำนวนจริงและเศษส่วนได้

CLO5 คำนวณค่าสัมบูรณ์ของจำนวนจริงได้

CLO6 คำนวณอัตราส่วน ร้อยละ และเทียบบัญญัติไตรยางศ์ได้

CLO7 คำนวณการบวก ลบ คูณ หาร พหุนามและเศษส่วนของพหุนามได้

CLO8 แยกตัวประกอบพหุนามและแก้สมการพหุนามกำลังสองตัวแปรเดียวได้

CLO9 แก้อสมการพหุนามและพหุนามกำลังสองตัวแปรเดียวได้

CLO10 แก้ระบบสมการเชิงเส้นได้

CLO11 คำนวณค่าของฟังก์ชัน การบวก ลบ คูณ หารของฟังก์ชัน ฟังก์ชันผลประกอบ และฟังก์ชันผกผันได้

CLO12 คำนวณเลขยกกำลังที่มีเลขชี้กำลังเป็นจำนวนเต็มและเลขยกกำลังที่มีเลขชี้กำลังเป็นจำนวนตรรกยะได้

CLO13 คำนวณรากที่ n ในระบบจำนวนจริง และจำนวนจริงในรูปกรณฑ์ได้

CLO14 หาค่าของลอการิทึมของจำนวนจริงได้

CLO15 แก้สมการเอกซ์โพเนนเชียล และสมการลอการิทึมได้

CLO16 เขียนกราฟของฟังก์ชันเชิงเส้น ฟังก์ชันพหุนามกำลังสอง ฟังก์ชันค่าสัมบูรณ์ ฟังก์ชันรากที่สอง ฟังก์ชันขั้นบันได ฟังก์ชันเอกซ์โพเนนเชียล และฟังก์ชันลอการิทึมได้

CLO17 ใช้ทฤษฎีบทพีทาโกรัสได้

CLO18 หาค่าของฟังก์ชันตรีโกณมิติได้"
511108,"CLO1 บอกความต่อเนื่องหรือไม่ต่อเนื่องของฟังก์ชันได้

CLO2 อธิบายความหมายของลำดับ อนุกรม อนุกรมลู่เข้าและอนุกรมลู่ออก

CLO3 หาลิมิตของฟังก์ชันพหุนาม ฟังก์ชันตรรกยะ ฟังก์ชันเอกซ์โพเนนเชียล ฟังก์ชันลอการิทึมและผลประกอบของฟังก์ชันเหล่านั้นได้

CLO4 หาอนุพันธ์ของฟังก์ชันพหุนาม ฟังก์ชันตรรกยะ ฟังก์ชันตรีโกณมิติ ฟังก์ชันเอกซ์โพเนนเชียล ฟังก์ชันลอการิทึมและผลประกอบของฟังก์ชันเหล่านั้นได้

CLO5 หาค่าต่ำสุดสูงสุดโดยการนำอนุพันธ์มาประยุกต์ใช้ได้

CLO6 บอกการลู่เข้าหรือลู่ออกของอนุกรมพีและอนุกรมเรขาคณิตได้"
511110,"CLO1    หาลิมิตของฟังก์ชันพหุนาม ฟังก์ชันตรรกยะ ฟังก์ชันเอกซ์โพเนนเชียล ฟังก์ชันลอการิทึม ฟังก์ชันตรีโกณมิติและพีชคณิตและผลประกอบของฟังก์ชันเหล่านั้นได้
CLO2    บอกความต่อเนื่องหรือไม่ต่อเนื่องของฟังก์ชันได้ 
CLO3    หาอนุพันธ์ของฟังก์ชันพหุนาม ฟังก์ชันตรรกยะ ฟังก์ชันตรีโกณมิติ ฟังก์ชันเอกซ์โพเนนเชียล ฟังก์ชันลอการิทึม ฟังก์ชันตรีโกณมิติและพีชคณิตและผลประกอบของฟังก์ชันเหล่านั้นได้ 
CLO4    หาอนุพันธ์อันดับสูงได้
CLO5    หาค่าต่ำสุดสูงสุดโดยการนำอนุพันธ์มาประยุกต์ใช้ได้   
CLO6    หาปริพันธ์ไม่จำกัดเขตและปริพันธ์จำกัดเขตของฟังก์ชันค่าจริงที่มีขอบเขตได้
CLO7    หาปริพันธ์โดยใช้เทคนิคการอินทิเกรตโดยการแทน การอินทิเกรตทีละส่วน การอินทิเกรตโดยการแทนค่าด้วยฟังก์ชันตรีโกณมิติ และการอินทิเกรตฟังก์ชันตรรกยะ
CLO8    หาพื้นที่ระหว่างเส้นโค้งโดยการนำปริพันธ์มาประยุกต์ใช้ได้
CLO9    หาปริพันธ์ไม่ตรงแบบชนิดที่ช่วงการอินทิเกรตเป็นช่วงอนันต์ ปริพันธ์ไม่ตรงแบบชนิดที่ฟังก์ชันที่ถูกอินทิเกรตเป็นฟังก์ชันไม่มีขอบเขตบนช่วงของการอินทิเกรตและปริพันธ์ไม่ตรงแบบชนิดผสมได้
CLO10   สามารถจำแนกประเภท ตลอดจนตรวจสอบการลู่เข้าของลำดับและอนุกรมได้"
511111,"CLO1    คำนวณพีชคณิตของเวกเตอร์ได้ (บวก ลบ ขนาดของเวกเตอร์ ผลคูณเชิงสเกลาร์ ผลคูณเชิงเวกเตอร์ เวกเตอร์ 1 หน่วย ภาพฉาย)
CLO2    เขียนสมการของเส้นตรงและระนาบที่กำหนดให้ได้
CLO3    บอกชนิดของพื้นผิวต่าง ๆ ในปริภูมิสามมิติได้
CLO4    หาอนุพันธ์ของฟังก์ชันค่าเวกเตอร์ของหนึ่งตัวแปรได้
CLO5    หาความยาวของเส้นโค้งโดยใช้อนุพันธ์ของฟังก์ชันค่าเวกเตอร์ของหนึ่งตัวแปรได้
CLO6    หาค่าของลิมิตของฟังก์ชันสองตัวแปรเมื่อลิมิตมีค่าได้และแสดงว่าลิมิตของฟังก์ชันสองตัวแปรไม่มีค่าได้
CLO7    บอกความต่อเนื่องหรือความไม่ต่อเนื่องของฟังก์ชันสองตัวแปรได้
CLO8    หาอนุพันธ์ย่อยของฟังก์ชันสองตัวแปรได้
CLO9    หาอนุพันธ์ย่อยของฟังก์ชันสองตัวแปรด้วยกฎลูกโซ่ได้
CLO10   หาอนุพันธ์ย่อยอันดับสูงของฟังก์ชันสองตัวแปรได้
CLO11   หาค่าสูงสุดและต่ำสุดของฟังก์ชันสองตัวแปรได้ 
CLO12   หาผลเฉลยของปัญหาการหาค่าเหมาะสมที่สุดที่กำหนดให้ได้
CLO13   คำนวณปริพันธ์หลายชั้นในระบบพิกัดฉากได้
CLO14   คำนวณปริพันธ์หลายชั้นในระบบพิกัดฉากด้วยวิธีการเปลี่ยนตัวแปรได้
CLO15   หาพื้นที่และปริมาตรของบริเวณปิดด้วยปริพันธ์หลายชั้นได้"
511244,"CLO1	แก้ระบบสมการเชิงเส้นด้วยได้อย่างถูกต้อง
CLO2	คำนวณเมทริกซ์ผกผันและดีเทอร์มิแนนต์ได้อย่างถูกต้อง
CLO3	อธิบายบทนิยามและทฤษฎีบทที่เกี่ยวข้องกับปริภูมิเวกเตอร์และปริภูมิย่อยได้อย่างถูกต้อง
CLO4	อธิยายบทนิยามและทฤษฎีบทที่เกี่ยวข้องกับผลรวมเชิงเส้น ความอิสระเชิงเส้น สแปน และฐานได้อย่างถูกต้อง
CLO5	อธิบายบทนิยามและทฤษฎีบทที่เกี่ยวข้องกับปริภูมิผลคูณภายในและภาวะตั้งฉากได้อย่างถูกต้อง
CLO6	อธิบายบทนิยามและทฤษฎีบทที่เกี่ยวข้องกับการแปลงเชิงเส้นได้อย่างถูกต้อง 
CLO7	คำนวณค่าเฉพาะและเวกเตอร์เฉพาะได้อย่างถูกต้อง
CLO8	แยกค่าเอกฐานได้อย่างถูกต้อง
CLO9	อธิบายหลักการของการวิเคราะห์องค์ประกอบหลักได้อย่างถูกต้อง
CLO10	อธิบายวิธีการใช้การวิเคราะห์องค์ประกอบหลักเพื่อลบความซับซ้อนที่ซ่อนอยู่อย่างเป็นไปได้จากข้อมูล
CLO11	อธิบายวิธีการใช้การวิเคราะห์องค์ประกอบหลักเพื่อลดมิติข้อมูล
CLO12	อธิบายวิธีการใช้การวิเคราะห์องค์ประกอบหลักเพื่อทำข้อมูลที่มีมิติสูงให้เป็นภาพ
CLO13	อธิบายวิธีการใช้คำสั่งโปรแกรมคอมพิวเตอร์สำเร็จรูปเพื่อคำนวณผลลัพธ์ที่ต้องการได้อย่างถูกต้อง"
511246,"CLO1 อธิบายเมทริกซ์ชนิดต่าง ๆ เช่น เมทริกซ์ทแยงมุม เมทริกซ์สามเหลี่ยม เมทริกซ์ขั้นบันได

CLO2 อธิบายหลักการและทฤษฎีของดีเทอร์มิแนนต์ของเมทริกซ์ได้

CLO3 อธิบายหลักการและทฤษฎีของปริภูมิเวกเตอร์ได้

CLO4 อธิบายหลักการและทฤษฎีของปริภูมิผลคูณภายในได้

CLO5 อธิบายหลักการและทฤษฎีของการแปลงเชิงเส้นได้

CLO6 อธิบายสมบัติทางพีชคณิตของการแปลงเชิงเส้นได้

CLO7 ตรวจสอบคุณสมบัติถึงการแปลงเมทริกซ์เป็นเมทริกซ์ทแยงมุม

CLO8 ใช้การดำเนินการขั้นมูลฐานบนเมทริกซ์ได้

CLO9 หาผลเฉลยของระบบสมการเชิงเส้นได้

CLO10 หาฐานของแต่ละปริภูมิเวกเตอร์ได้

CLO11 หาเมทริกซ์ของการแปลงเชิงเส้นได้

CLO12 หาค่าลักษณะเฉพาะและเวกเตอร์ลักษณะเฉพาะได้"
514231,"CLO1	อธิบายความแตกต่างของปริมาณทางกายภาพและหน่วยได้
CLO2	อธิบายความหมายของผลข้อมูลได้
CLO3	ประยุกต์ใช้วิธีการทางคณิตศาสตร์หรือสถิติในการวิเคราะห์ข้อมูลทางกายภาพได้
CLO4	อธิบายขั้นตอนและวิธีรวบรวมข้อมูลทางกายภาพได้
CLO5	สื่อสารและนำเสนองานได้อย่างมีเหตุผลและเป็นระบบ
CLO6	แสดงออกถึงความรับผิดชอบต่อการส่งงานที่ได้รับมอบหมาย"
515104,"CLO1 อธิบายแนวคิดพื้นฐานทางสถิติและกระบวนการสถิติ ได้แก่ ตัวแปรและข้อมูล ระดับการวัดของตัวแปร การนำเสนอข้อมูล และวิเคราะห์ข้อมูล และการสรุปผลที่ได้จากการวิเคราะห์ข้อมูล

CLO2 อธิบายวิธีการเก็บรวบรวมข้อมูลทั้งจากการสำรวจ และการทดลอง

CLO3 อธิบายหลักการพื้นฐานของความน่าจะเป็นและตัวแปรสุ่มและใช้นิยามของความน่าจะเป็นแบบมีเงื่อนไขและความเป็นอิสระกันของเหตุการณ์เพื่อพิจารณาความเป็นอิสระกันของเหตุการณ์ได้

CLO4 อธิบายลักษณะและพฤติกรรมของตัวแปรสุ่มที่สำคัญทั้งชนิดไม่ต่อเนื่องและตัวแปรสุ่มชนิดต่อเนื่องโดยใช้ฟังก์ชันการแจกแจงความน่าจะเป็นและฟังก์ชันการแจกแจงความน่าจะเป็นสะสมของตัวแปรสุ่ม

CLO5 อธิบายแนวคิดของการแจกแจงค่าตัวอย่าง และอธิบายคุณสมบัติของการแจกแจงของค่าเฉลี่ยตัวอย่าง สัดส่วนตัวอย่างโดยใช้ทฤษฎีลิมิตสู่ส่วนกลาง

CLO6 อธิบายหลักการของการอนุมานทางสถิติและนำหลักการของการอนุมานทางสถิติไปใช้ในการประมาณค่าและทดสอบสมมติฐานเกี่ยวกับพารามิเตอร์ เพื่อแก้ปัญหาที่เกี่ยวข้องกับบริบทต่าง ๆ ในเชิงสถิติได้

CLO7 สรุปข้อมูลในเชิงความสัมพันธ์ระหว่างตัวแปร 2 ตัว โดยใช้กราฟ ตาราง และการคำนวณเชิงตัวเลข ได้แก่ การทำแผนภาพการกระจาย ตารางการณ์จร สัมประสิทธิ์สหสัมพันธ์ และเส้นการถดถอย พร้อมทั้งตรวจสอบและอธิบายความสัมพันธ์หรือความเกี่ยวพันระหว่างตัวแปรสองตัว โดยใช้ความระมัดระวังในการแปลความหมายของสหสัมพันธ์ (Correlation) และความเกี่ยวพัน (Associations)

CLO8 แปลความหมายของสารสนเทศเชิงปริมาณที่ได้จากการวิเคราะห์ข้อมูลและสื่อสารสารสนเทศและหลักการเชิงสถิติโดยใช้ภาษาที่เหมาะสมกับบริบทและผู้ฟัง

CLO9 เลือกและสร้างกราฟ ตารางและการสรุปเชิงตัวเลขที่เหมาะสมเพื่ออธิบายการแจกแจงของตัวแปรแต่ละตัวในชุดข้อมูลและอธิบายสารสนเทศที่ได้ในรูปแบบการเขียนเชิงพรรณนา

CLO10 ประยุกต์สถิติเพื่อใช้ประมวลผลข้อมูลด้านวิทยาศาสตร์ ธุรกิจ และเทคโนโลยีสารสนเทศ

CLO11 ใช้ภาษาโปรแกรมในการวิเคราะห์และแปลผลการวิเคราะห์ได้อย่างถูกต้อง"
515232,"CLO1 อธิบายหลักความน่าจะเป็นโดยสามารถแสดงขั้นตอนในการคำนวณหาค่าความน่าจะเป็นของเหตุการณ์และ/หรือตัวแปรสุ่มได้

CLO2 อธิบายกฎความน่าจะเป็น ความน่าจะเป็นแบบมีเงื่อนไข และทฤษฎีเบย์ที่เป็นพื้นฐานสำหรับการวิเคราะห์การจำแนกประเภทในปัญญาประดิษฐ์และ/หรือการเรียนรู้ของเครื่อง

CLO3 อธิบายประเภทของตัวแปรสุ่มและการแจกแจกจความน่าจะเป็นของตัวแปรสุ่มที่เป็นพื้นฐานในการศึกษาการลดมิติ การจัดกลุ่มสำหรับปัญญาประดิษฐ์และ/หรือการเรียนรู้ของเครื่อง"
515271,"CLO1	สามารถแสดงความมีวินัย ตรงต่อเวลา และมีความรับผิดชอบต่อตนเอง และสังคม
CLO2	สามารถอธิบายแนวคิดพื้นฐานของความน่าจะเป็น ปริภูมิความน่าจะเป็น และสมบัติของความน่าจะเป็น 
CLO3	สามารถคำนวณความน่าจะเป็นอย่างมีเงื่อนไข ความน่าจะเป็นเมื่อเหตุการณ์เป็นอิสระกัน ความน่าจะเป็นเมื่อใช้ทฤษฎีบทของเบส์ 
CLO4	สามารถกำหนดตัวแปรสุ่มให้สอดคล้องกับการทดลองเชิงสุ่มทั้งตัวแปรสุ่มแบบต่อเนื่องและไม่ต่อเนื่อง
CLO5	สามารถหาการแจกแจงความน่าจะเป็นเมื่อทำการแปลงตัวแปรสุ่ม หาค่าคาดหมายทางคณิตศาสตร์ โมเมนต์ และฟังก์ชันโมเมนต์  ก่อกำเนิดของตัวแปรสุ่ม
CLO6	สามารถอธิบายการแจกแจงความน่าจะเป็นร่วม การแจกแจงความน่าจะเป็นแบบมีเงื่อนไข พร้อมทั้งสามารถบอกความหมายของความแปรปรวนร่วมและสัมประสิทธิ์สหสัมพันธ์ระหว่างตัวแปรสุ่ม 
CLO7	สามารถประยุกต์ความน่าจะเป็นกับการวิเคราะห์ข้อมูลได้
CLO8	สามารถอธิบายปัญหาต่าง ๆ ที่สามารถนำแนวคิดความน่าจะเป็นไปประยุกต์ใช้แก้ปัญหาได้"
