subject_id,course_id,plan_type,semester,thai_subject,eng_subject,credits,compulsory_subject,condition,description_id,clo_id
517791,DSIT66,1.1,ปีที่ 1  ภาคการศึกษาที่ 1,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 1,Seminar in Information Technology and Digital Innovation I,1*(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517791,517791
------,DSIT66,1.1,ปีที่ 1 ภาคการศึกษาที่ 1,วิชาเลือก,,3*,,,,
517792,DSIT66,1.1,ปีที่ 1 ภาคการศึกษาที่ 2,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 2,Seminar in Information Technology and Digital Innovation II,1*(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517792,517792
------,DSIT66,1.1,ปีที่ 1 ภาคการศึกษาที่ 2,วิชาเลือก,,3*,,,,
517793,DSIT66,1.1,ปีที่ 2 ภาคการศึกษาที่ 1,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 3,Seminar in Information Technology and Digital Innovation III,1*(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517793,517793
517891,DSIT66,1.1,ปีที่ 2 ภาคการศึกษาที่ 1,วิทยานิพนธ์,Thesis,12,,,517891,517891
517794,DSIT66,1.1,ปีที่ 2 ภาคการศึกษาที่ 2,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 4,Seminar in Information Technology and Digital Innovation IV,1*(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517794,517794
517891,DSIT66,1.1,ปีที่ 2 ภาคการศึกษาที่ 2,วิทยานิพนธ์,Thesis,12,,,517891,517891
517891,DSIT66,1.1,ปีที่ 3 ภาคการศึกษาที่ 1,วิทยานิพนธ์,Thesis,12,,,517891,517891
517891,DSIT66,1.1,ปีที่ 3 ภาคการศึกษาที่ 2,วิทยานิพนธ์,Thesis,12,,,517891,517891
517701,DSIT66,2.1,ปีที่ 1 ภาคการศึกษาที่ 1,สถิติสำหรับงานวิจัยทางเทคโนโลยีสารสนเทศ,Statistics for Information Technology Research,2(2-0-4),,,517701,517701
517791,DSIT66,1.1,ปีที่ 1 ภาคการศึกษาที่ 1,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 1,Seminar in Information Technology and Digital Innovation I,1(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517791,517791
------,DSIT66,1.1,ปีที่ 1 ภาคการศึกษาที่ 1,วิชาเลือก,,3,,,,
517792,DSIT66,2.1,ปีที่ 1 ภาคการศึกษาที่ 2,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 2,Seminar in Information Technology and Digital Innovation II,1(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517792,517792
------,DSIT66,2.1,ปีที่ 1 ภาคการศึกษาที่ 2,วิชาเลือก,,3,,,,
517793,DSIT66,2.1,ปีที่ 2 ภาคการศึกษาที่ 1,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 3,Seminar in Information Technology and Digital Innovation III,1(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517793,517793
517794,DSIT66,2.1,ปีที่ 2 ภาคการศึกษาที่ 2,สัมมนาทางเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล 4,Seminar in Information Technology and Digital Innovation IV,1(0-2-1),,"โดยความยินยอมจากภาควิชาคอมพิวเตอร์
วิชานี้วัดผลการศึกษาเป็น S หรือ U",517794,517794
517892,DSIT66,2.1,ปีที่ 2 ภาคการศึกษาที่ 2,วิทยานิพนธ์,Thesis,12,,,517892,517892
517892,DSIT66,2.1,ปีที่ 3 ภาคการศึกษาที่ 1,วิทยานิพนธ์,Thesis,12,,,517892,517892
517892,DSIT66,2.1,ปีที่ 3 ภาคการศึกษาที่ 2,วิทยานิพนธ์,Thesis,12,,,517892,517892
